ticker,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action
CARR,Carrier Global Corporation,Common stocks,Large cap,Industrials,"$38,359,315,693 ",1.38%,13.69,0,5.13,Analyze
FTNT,Fortinet Inc,Common stocks,Large cap,Information Technology,"$38,179,003,858 ",0.00%,59.84,0,175.37,Analyze
PRU,Prudential Financial Inc,Common stocks,Large cap,Financials,"$37,572,000,000 ",4.67%,7.6,0,0.83,Analyze
LHX,"L3Harris Technologies, Inc.",Common stocks,Large cap,Industrials,"$37,539,815,062 ",2.26%,19.83,0,1.91,Analyze
DD,"DuPont de Nemours, Inc.",Common stocks,Large cap,Materials,"$37,358,528,890 ",1.74%,23.29,0,1.39,Analyze
TDG,Transdigm Group Inc,Common stocks,Large cap,Industrials,"$37,185,698,712 ",0.00%,41.16,0,-12.61,Analyze
HLT,Hilton Worldwide Holdings Inc,Common stocks,Large cap,Consumer Discretionary,"$37,020,019,607 ",0.33%,49.84,0,-52.13,Analyze
ALL,Allstate Corp,Common stocks,Large cap,Financials,"$36,856,174,499 ",2.42%,9.97,0,1.51,Analyze
YUM,Yum Brands Inc,Common stocks,Large cap,Consumer Discretionary,"$36,681,393,911 ",1.74%,22,0,-4.27,Analyze
PCAR,Paccar Inc,Common stocks,Large cap,Industrials,"$35,705,296,925 ",1.31%,17.4,0,2.86,Analyze
CMI,Cummins Inc,Common stocks,Large cap,Industrials,"$35,629,325,024 ",2.37%,17.49,0,4.03,Analyze
AMP,Ameriprise Finance Inc,Common stocks,Large cap,Financials,"$35,456,082,363 ",1.46%,11.32,0,6.97,Analyze
ANET,Arista Networks Inc,Common stocks,Large cap,Information Technology,"$35,140,850,840 ",0.00%,37.67,0,8.46,Analyze
ODFL,Old Dominion Freight Line Inc,Common stocks,Large cap,Industrials,"$34,840,379,498 ",0.38%,30.73,0,9.95,Analyze
MTD,Mettler Toledo Inc,Common stocks,Large cap,Health Care,"$34,729,441,740 ",0.00%,43.27,0,405.88,Analyze
OTIS,Otis Worldwide Corporation,Common stocks,Large cap,Industrials,"$34,680,790,910 ",1.33%,27.28,0,-6.78,Analyze
